time,Avg_I_L1,Min_I_L1,Max_I_L1,Avg_I_L2,Min_I_L2,Max_I_L2,Avg_I_L3,Min_I_L3,Max_I_L3,Avg_U_L1,Min_U_L1,Max_U_L1,Avg_U_L2,Min_U_L2,Max_U_L2,Avg_U_L3,Min_U_L3,Max_U_L3,Avg_b_charge,Min_b_charge,Max_b_charge,Avg_P,Min_P,Max_P,Avg_Q,Min_Q,Max_Q
01.01.1840 03:00:00,66.42,31.30,64.95,98.08,35.35,67.46,118.26,94.86,89.90,64.50,63.13,27.20,85.09,29.00,12.27,113.33,56.37,36.57,106.84,19.15,75.83,77.95,15.78,48.50,84.85,69.22,58.31
01.01.1840 03:05:00,33.37,86.52,36.40,6.00,15.88,118.30,24.81,57.97,79.21,79.07,67.89,34.37,10.44,36.42,57.55,88.93,17.02,91.10,105.66,72.64,119.47,71.03,58.08,5.99,53.04,68.53,38.75
01.01.1840 03:10:00,40.97,99.86,14.23,67.25,109.60,116.28,65.11,1.61,35.23,4.93,76.69,14.23,116.65,95.00,50.85,20.62,70.50,96.63,108.77,40.57,53.86,53.85,22.24,112.54,112.58,13.93,44.45
01.01.1840 03:15:00,11.90,113.62,34.71,7.87,55.08,84.97,98.75,100.73,105.64,59.28,51.44,31.18,116.20,60.51,87.14,106.30,84.08,2.84,69.43,106.14,44.90,26.75,103.79,37.51,3.71,60.31,83.98
01.01.1840 03:20:00,38.92,12.85,4.64,119.76,2.54,72.52,84.38,33.95,28.37,11.88,110.92,10.12,73.81,64.30,119.77,48.56,22.02,104.20,4.10,85.07,44.01,102.56,46.48,67.77,98.52,73.47,60.19
01.01.1840 03:25:00,49.46,1.90,56.07,70.53,113.10,68.11,61.83,60.32,26.30,101.74,78.61,114.55,35.03,109.29,102.46,49.74,110.79,112.04,113.66,96.49,64.78,5.93,60.67,53.82,111.58,81.01,17.12
01.01.1840 03:30:00,75.79,25.89,86.94,106.42,38.12,59.63,84.80,48.24,21.88,78.25,57.56,77.10,99.32,53.28,2.51,7.11,17.52,114.59,33.38,116.28,3.86,73.08,108.57,27.30,5.08,63.35,99.87
01.01.1840 03:35:00,72.99,112.53,58.05,63.02,41.92,65.17,111.32,39.89,81.77,49.33,115.29,85.78,87.20,48.53,93.59,45.28,66.67,105.58,33.48,87.22,29.01,31.24,89.06,68.83,112.96,117.04,88.98
01.01.1840 03:40:00,66.30,53.20,33.95,81.40,118.46,117.25,30.87,85.86,10.73,39.34,83.53,44.56,24.61,36.00,18.55,46.23,93.20,26.05,7.12,3.81,66.62,39.08,15.39,56.22,60.71,68.21,64.72
01.01.1840 03:45:00,56.41,4.93,119.54,111.48,14.80,33.83,80.57,80.14,47.20,0.03,57.91,48.02,55.27,105.40,102.07,89.21,96.16,46.90,49.13,69.98,0.53,49.34,26.36,28.49,92.63,107.76,6.42
01.01.1840 03:50:00,44.20,82.72,79.92,29.13,29.65,72.91,7.75,70.36,15.73,77.37,69.84,101.09,114.03,77.61,26.81,80.21,64.61,75.31,50.75,114.35,118.61,99.41,37.07,118.98,18.77,51.76,116.21
01.01.1840 03:55:00,56.65,117.08,94.70,18.01,19.05,38.65,42.99,85.09,91.81,1.20,27.10,26.32,72.17,32.19,81.00,10.36,116.39,79.05,38.38,79.39,17.12,20.39,60.28,83.03,88.80,40.81,29.27
01.01.1840 04:00:00,108.97,27.44,93.35,93.36,39.42,102.28,117.32,61.10,3.12,54.90,63.60,3.51,99.41,77.28,45.61,110.47,74.81,70.38,63.92,115.95,103.02,57.22,71.23,93.83,99.50,27.68,44.49
01.01.1840 04:05:00,54.86,93.43,20.86,93.88,94.80,82.48,80.76,59.89,49.50,6.88,105.67,41.75,10.57,76.74,117.27,109.93,53.97,107.27,94.33,18.57,65.32,68.41,18.19,58.71,93.02,99.70,8.23
01.01.1840 04:10:00,38.50,110.08,37.45,24.52,55.47,88.39,8.82,92.08,84.48,10.18,86.02,63.68,41.34,80.78,0.51,115.09,54.25,72.86,68.10,69.86,40.77,76.93,26.63,100.61,15.58,100.27,68.68
01.01.1840 04:15:00,64.13,98.49,26.57,68.38,71.12,118.78,76.37,91.38,5.39,23.58,97.78,80.70,2.83,87.33,106.50,46.65,10.25,83.65,51.40,84.72,5.51,0.75,118.49,87.09,86.46,92.54,83.35
01.01.1840 04:20:00,89.62,46.06,65.31,12.68,71.89,33.59,14.60,70.88,98.31,44.10,85.59,59.63,12.30,40.41,35.49,87.89,1.12,35.20,101.05,93.55,11.50,85.20,74.66,54.27,18.96,87.63,30.80
01.01.1840 04:25:00,41.71,61.20,3.81,2.85,34.44,51.75,105.42,13.66,25.98,113.61,98.44,13.16,49.78,86.07,31.20,51.73,47.68,11.91,19.46,32.14,102.92,27.73,117.28,56.93,119.74,37.81,50.99
01.01.1840 04:30:00,99.54,15.92,85.26,35.95,52.56,38.81,112.12,42.98,84.44,37.53,36.53,33.18,54.84,64.78,51.79,50.71,102.39,36.22,35.63,60.03,12.06,15.87,39.73,70.80,100.58,78.34,97.06
01.01.1840 04:35:00,57.37,13.37,35.90,24.09,28.46,79.85,73.84,43.76,99.45,108.85,20.00,89.80,83.70,105.92,88.77,26.68,119.54,63.27,43.63,111.62,9.64,113.54,49.35,105.57,49.22,14.60,52.42
01.01.1840 04:40:00,90.55,79.22,19.01,88.88,9.89,96.02,115.35,60.36,104.42,3.58,55.10,112.53,73.65,22.00,7.36,37.84,75.94,87.48,106.39,12.29,104.67,2.86,41.99,106.25,104.50,118.69,94.00
01.01.1840 04:45:00,7.10,71.37,35.30,91.32,31.85,18.63,96.80,48.49,38.77,68.77,63.66,67.71,115.85,77.37,84.40,0.51,103.83,93.11,96.29,57.65,5.64,64.17,5.87,66.94,89.16,86.52,42.92
01.01.1840 04:50:00,37.58,76.15,88.81,23.79,36.21,10.23,100.84,5.44,2.00,22.28,20.64,33.86,101.84,10.29,53.46,78.24,104.74,69.57,79.54,20.13,46.89,20.07,110.46,47.53,41.11,11.88,18.85
01.01.1840 04:55:00,8.47,39.57,16.17,118.99,11.78,59.22,26.14,14.23,51.03,36.67,13.44,60.14,114.75,45.76,34.32,22.26,16.95,25.47,103.17,50.97,77.87,119.89,3.89,58.12,23.62,72.72,13.05
01.01.1840 05:00:00,113.45,90.71,65.43,4.40,70.36,47.39,116.12,15.66,117.44,86.21,86.72,20.98,26.90,73.62,30.80,13.69,2.54,24.59,72.82,102.07,94.63,96.04,37.70,118.12,55.52,8.80,93.27
01.01.1840 05:05:00,77.06,8.80,113.83,31.18,112.62,119.17,50.52,107.43,82.29,86.23,34.57,76.92,111.34,43.65,84.41,34.58,65.33,25.96,81.09,98.02,67.93,111.13,6.50,19.74,14.84,33.69,42.33
01.01.1840 05:10:00,0.13,55.77,97.79,88.03,5.28,69.35,66.04,40.73,41.10,116.75,50.70,71.69,74.96,45.56,119.74,49.63,109.38,83.32,13.48,33.46,82.77,14.10,60.32,69.07,30.08,45.83,9.53
01.01.1840 05:15:00,62.04,42.67,8.79,66.21,29.93,29.46,83.18,42.03,11.49,39.15,57.63,10.96,113.54,54.58,85.64,109.91,44.61,67.39,29.45,117.05,57.61,28.00,60.64,80.17,86.42,33.21,13.70
01.01.1840 05:20:00,85.86,65.29,112.31,11.74,95.88,34.87,106.53,34.17,111.37,6.40,39.57,57.97,26.74,108.29,102.85,32.69,42.46,97.96,99.09,110.28,51.61,74.84,12.17,111.81,43.90,40.63,95.88
01.01.1840 05:25:00,33.22,46.04,76.98,54.34,108.69,61.38,93.51,15.29,82.27,48.83,118.85,8.45,102.92,10.12,66.91,25.17,61.61,107.92,87.90,107.07,35.23,45.18,98.80,61.60,12.26,79.00,29.81
01.01.1840 05:30:00,109.98,30.19,64.13,3.31,22.70,16.11,115.84,18.41,82.09,45.58,86.41,113.87,12.01,114.58,7.70,93.20,1.39,101.06,83.34,103.83,95.56,41.69,29.01,6.03,106.79,111.88,107.78
01.01.1840 05:35:00,9.49,65.63,32.09,27.30,49.78,66.05,113.26,95.73,61.80,14.69,116.40,80.39,29.12,11.57,111.42,60.56,36.05,79.39,30.82,71.41,89.74,28.63,60.13,80.72,50.94,69.96,107.41
01.01.1840 05:40:00,65.97,68.12,118.47,7.97,3.14,77.17,31.65,116.38,73.33,82.96,14.09,39.23,116.58,11.14,45.39,6.81,27.10,49.44,54.71,37.20,101.67,22.10,41.88,24.19,77.55,67.59,96.60
01.01.1840 05:45:00,106.12,51.03,113.47,98.13,102.96,96.30,17.86,82.09,48.96,89.47,61.04,20.22,80.15,104.07,117.16,114.94,109.17,20.42,14.75,54.77,8.76,109.55,63.88,15.94,46.94,81.77,6.50
01.01.1840 05:50:00,50.86,116.43,112.73,115.19,102.68,34.48,79.96,65.45,84.14,87.54,106.54,26.16,1.26,56.01,2.50,34.30,109.95,118.46,33.58,63.01,20.65,63.43,87.68,106.28,17.43,29.35,52.91
01.01.1840 05:55:00,100.91,72.48,0.45,76.38,96.34,16.54,37.54,85.86,58.18,55.50,62.00,91.83,80.93,103.44,74.38,69.33,38.66,90.57,14.79,103.75,68.68,94.17,32.13,84.41,96.02,100.09,40.13
01.01.1840 06:00:00,18.00,57.39,93.93,110.38,30.96,110.32,85.76,33.77,69.49,45.78,20.57,66.07,8.49,18.79,73.76,104.47,113.06,16.21,111.73,47.30,3.89,49.09,76.79,69.82,55.23,58.96,102.10
01.01.1840 06:05:00,1.98,115.16,62.87,7.26,47.16,43.68,114.98,22.36,30.90,3.15,84.51,25.51,101.84,103.92,55.39,96.58,21.36,56.95,106.77,50.32,53.14,39.21,11.77,88.87,109.08,73.61,119.73
01.01.1840 06:10:00,8.27,84.40,105.31,15.75,12.96,51.08,116.59,49.24,112.68,62.13,16.66,15.93,92.95,61.91,54.13,111.77,62.30,69.18,74.97,5.75,43.67,15.82,45.07,77.67,87.07,28.14,69.55
01.01.1840 06:15:00,44.42,6.99,107.11,100.51,94.66,20.88,58.33,32.95,34.02,47.38,87.30,83.03,48.84,102.91,51.69,71.97,37.14,78.90,10.82,45.42,63.36,92.47,77.51,31.20,63.85,4.53,26.51
01.01.1840 06:20:00,50.15,105.12,62.27,101.49,85.56,48.20,103.63,17.54,20.80,104.13,26.09,31.25,108.64,118.38,12.95,65.48,46.70,64.05,50.49,9.90,39.96,66.33,58.44,65.09,118.15,38.50,75.34
01.01.1840 06:25:00,114.23,22.60,7.19,96.10,70.12,102.98,54.71,25.32,66.58,116.04,82.60,63.65,46.92,37.66,17.84,77.53,109.56,59.41,72.81,44.92,85.03,44.72,62.93,117.77,3.57,29.93,112.46
01.01.1840 06:30:00,111.69,27.62,55.47,81.95,100.09,83.85,107.86,5.66,82.95,103.99,71.40,26.75,106.14,89.58,24.64,41.60,97.50,6.54,83.73,62.21,77.64,83.19,105.72,87.65,58.14,88.28,64.84
01.01.1840 06:35:00,50.14,42.54,7.38,40.89,101.52,110.25,34.49,36.17,39.87,5.53,29.67,36.49,3.39,75.67,46.51,29.83,15.19,31.81,28.08,49.32,45.27,27.21,63.32,2.98,103.69,11.44,106.05
01.01.1840 06:40:00,87.20,21.31,31.92,2.88,88.98,86.13,107.92,78.82,21.11,54.83,29.48,77.91,96.34,90.15,61.23,80.45,31.82,29.52,85.52,99.60,102.75,34.80,55.86,106.01,44.67,99.53,48.35
01.01.1840 06:45:00,16.65,119.77,39.70,100.11,36.83,73.15,29.06,83.10,49.85,97.26,59.55,114.23,87.24,5.98,53.48,65.35,63.94,92.28,36.39,117.89,20.28,83.45,36.48,40.97,77.92,52.21,66.73
01.01.1840 06:50:00,30.64,33.37,6.14,52.00,35.10,21.61,17.40,37.09,33.86,70.08,54.78,1.21,88.78,93.73,100.63,83.88,35.15,8.00,113.27,9.39,21.35,79.79,20.38,39.47,39.90,84.81,16.07
01.01.1840 06:55:00,50.16,38.87,52.40,69.01,43.85,68.48,43.07,86.84,111.27,87.90,83.04,56.45,85.48,20.89,64.55,45.75,44.85,50.60,20.29,91.31,24.02,102.00,36.77,84.73,10.61,80.37,5.84
01.01.1840 07:00:00,29.12,82.64,11.75,95.35,106.04,115.68,102.54,58.53,46.74,95.64,63.08,46.61,112.46,72.68,36.28,10.29,78.81,93.62,6.36,106.63,36.96,108.37,67.41,71.19,27.23,23.14,8.43
01.01.1840 07:05:00,0.32,10.36,38.24,10.16,44.02,108.56,47.76,98.99,69.98,100.58,69.10,54.62,47.78,100.78,4.37,71.02,35.04,104.30,87.53,39.57,119.95,28.37,34.61,37.27,10.83,22.16,54.85
01.01.1840 07:10:00,92.22,69.10,31.83,44.14,47.13,90.95,29.61,13.04,8.82,22.48,38.31,57.77,36.98,9.33,29.09,65.85,82.06,1.00,27.28,18.69,38.14,2.10,117.04,82.03,3.83,103.47,20.01
01.01.1840 07:15:00,35.05,81.82,13.24,44.35,118.29,21.01,99.20,84.56,40.55,116.48,24.15,10.10,43.82,24.94,49.29,111.10,106.00,26.73,35.46,79.62,104.81,49.27,45.44,85.47,23.35,84.08,10.04
01.01.1840 07:20:00,78.94,69.47,22.07,110.43,69.61,115.89,7.87,94.34,3.23,32.33,74.96,32.60,42.08,27.82,57.98,103.46,79.47,71.26,67.33,24.80,83.73,107.72,98.29,116.69,61.56,9.45,19.11
01.01.1840 07:25:00,49.94,18.97,70.07,118.79,32.54,22.15,17.37,26.00,111.20,100.81,53.40,110.18,10.55,45.94,83.54,58.37,93.54,40.17,65.35,106.48,52.86,39.82,3.55,0.58,113.76,14.18,101.11
01.01.1840 07:30:00,49.11,7.90,108.11,27.68,113.04,37.94,76.11,19.70,89.29,87.91,96.39,13.94,60.75,114.86,0.79,68.25,28.59,97.91,112.84,6.96,76.16,23.93,67.46,52.36,110.93,9.13,24.78
01.01.1840 07:35:00,83.79,54.45,102.16,10.25,18.97,60.88,94.07,37.23,110.72,38.06,104.96,9.60,39.16,60.47,95.98,64.90,34.55,37.09,47.69,36.31,27.89,117.93,24.47,79.41,14.67,9.00,111.74
01.01.1840 07:40:00,46.73,82.79,99.28,23.71,108.54,102.72,62.92,55.40,16.80,22.30,16.78,88.95,16.02,17.37,92.78,94.19,14.41,30.89,97.33,9.65,68.89,63.03,67.59,116.70,56.43,81.60,14.38
01.01.1840 07:45:00,76.31,76.56,58.23,31.73,63.05,98.47,74.36,94.19,26.63,16.77,61.07,91.31,23.77,36.63,45.51,6.50,29.00,109.85,79.91,112.34,97.54,4.26,51.17,80.15,47.24,65.01,92.11
01.01.1840 07:50:00,34.19,116.02,114.03,77.74,80.79,90.75,110.95,105.28,116.06,79.19,70.90,3.94,3.21,27.79,70.88,55.30,34.11,12.90,56.89,34.72,38.71,13.91,8.87,83.83,91.05,3.64,99.28
01.01.1840 07:55:00,35.34,35.49,66.21,78.40,60.03,90.01,103.80,61.91,44.24,64.29,11.17,58.03,103.85,77.53,96.78,69.82,114.14,29.75,11.44,114.40,12.72,49.22,35.81,46.74,27.13,49.79,11.03
01.01.1840 08:00:00,39.80,72.61,18.27,114.06,80.09,75.59,32.79,51.24,107.65,93.16,57.47,115.23,107.12,70.91,2.30,37.01,36.86,101.78,4.75,91.66,105.05,40.54,34.31,41.84,106.02,25.05,99.82
01.01.1840 08:05:00,72.08,65.76,69.13,20.34,31.13,90.60,64.40,16.98,102.41,27.73,62.17,50.36,62.82,35.74,25.30,111.60,118.42,119.57,87.81,44.06,116.03,119.07,88.16,84.18,12.06,37.21,84.04
01.01.1840 08:10:00,3.50,17.28,23.79,50.40,41.10,29.78,39.25,70.73,38.35,7.93,74.18,46.36,87.10,31.63,45.35,41.02,115.12,100.52,61.84,9.58,50.01,19.02,41.29,112.37,110.00,48.93,110.20
01.01.1840 08:15:00,0.37,85.32,78.98,13.28,53.38,21.94,75.23,30.95,87.64,108.37,1.11,101.46,60.52,115.80,100.18,36.65,77.78,18.56,33.88,58.49,103.96,69.65,7.01,14.95,10.59,114.25,86.20
01.01.1840 08:20:00,105.45,55.21,98.38,7.76,27.23,47.20,83.20,42.60,111.40,16.87,2.69,8.25,79.21,36.77,95.72,91.37,55.17,99.05,73.70,110.99,113.28,66.08,79.98,26.17,45.17,37.89,14.09
01.01.1840 08:25:00,2.46,114.44,78.51,22.51,82.82,50.34,89.87,58.44,31.60,29.04,5.42,4.87,119.46,49.83,43.66,107.82,86.01,39.21,114.03,81.97,98.59,66.79,94.58,105.62,96.45,100.77,65.16
01.01.1840 08:30:00,43.93,10.91,13.91,50.39,101.94,77.95,16.23,89.99,21.92,19.79,60.13,97.44,110.28,106.97,110.31,25.54,45.66,58.54,112.21,7.28,109.98,107.95,5.12,74.28,9.81,90.59,81.14
01.01.1840 08:35:00,32.87,96.98,37.68,91.66,13.43,80.22,99.72,43.27,4.35,80.88,1.21,92.25,112.65,98.93,99.84,74.94,70.37,18.71,66.61,52.91,43.91,50.22,59.37,76.77,16.16,108.45,31.90
01.01.1840 08:40:00,91.10,87.59,46.79,88.34,100.42,85.34,47.14,91.20,70.48,42.43,53.13,14.18,3.08,113.06,43.74,62.58,1.36,57.83,57.34,21.37,24.67,46.49,109.87,34.23,90.08,114.19,47.84
01.01.1840 08:45:00,25.94,18.54,48.71,76.57,7.91,42.33,95.24,3.17,44.01,53.66,87.99,82.67,104.85,34.64,26.68,106.57,56.92,56.91,18.98,54.99,31.67,77.07,55.60,73.95,31.85,45.31,86.36
01.01.1840 08:50:00,92.16,100.00,84.73,51.70,68.08,14.20,55.60,34.43,97.22,96.76,11.81,84.05,78.39,91.93,23.51,61.20,52.31,81.62,61.14,17.70,44.30,26.18,66.65,24.80,109.69,17.70,38.32
01.01.1840 08:55:00,3.28,90.69,85.07,72.84,118.64,91.78,88.29,105.27,42.95,99.79,6.90,117.39,64.45,8.09,69.72,7.56,91.43,112.00,82.30,78.23,10.01,30.16,32.58,44.26,39.32,8.35,38.50
01.01.1840 09:00:00,115.53,25.36,98.88,113.85,102.35,21.38,83.79,85.43,93.34,54.18,19.41,45.59,3.72,57.16,113.37,10.96,29.03,79.08,77.26,103.81,86.23,113.59,13.10,111.96,13.11,25.11,76.64
01.01.1840 09:05:00,41.15,117.89,28.91,43.25,73.24,93.36,84.23,20.36,17.67,4.23,43.06,108.77,81.99,71.33,75.18,116.18,65.56,11.89,51.55,33.79,4.92,87.79,86.65,9.27,118.83,1.46,42.26
01.01.1840 09:10:00,34.90,59.02,20.88,86.23,103.85,100.73,16.30,24.24,108.36,21.52,63.99,41.12,103.90,115.87,46.80,55.34,60.59,43.08,58.82,43.11,15.93,50.74,118.07,112.87,22.01,94.56,49.77
01.01.1840 09:15:00,68.19,92.32,98.13,13.24,99.82,55.76,91.32,83.70,73.87,104.09,7.95,3.40,57.51,110.04,35.36,85.00,72.92,2.44,84.10,67.74,64.24,87.95,109.11,50.28,15.87,20.18,43.30
